Ticker,Nome,Setor,Subsetor,Segmento,Desc_Bazin,Desc_Graham,Desc_Gordon,Indice_PEG,Preco,DY,LPA,VPA,Risco,Payout,ROE,CAGR_lucros_5anos,Cresc_esperado,Media_Crescimento
AALR3,Alliar,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,0.0,0.0,0.0,-0.04,8.77,0.0,0.0,8.58,0.0881,0.0,-0.25920000000000004,0.0,-0.25920000000000004,-0.25920000000000004
ABCB4,Abc Brasil,Financeiro,Intermediários Financeiros,Bancos,26.26943333333334,0.5032070660103684,2.1339641823727225,-0.31,23.42,0.0673,4.09,24.15,0.0881,0.38537066014669935,0.16949999999999998,0.17800000000000002,0.10417967310513446,0.14108983655256724
ABEV3,Ambev S/A,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,12.176533333333333,-0.20717942870894485,2.0976672902137006,0.93,13.43,0.054400000000000004,0.96,5.73,0.0881,0.7610333333333333,0.1671,0.1572,0.03993133,0.098565665
ADHM3,Advanced Digital Health Medicina Preventiva,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos,0.0,0.0,0.0,-0.58,1.56,0.0,0.0,0.0,0.0881,0.0,-0.3147,0.0,-0.3147,-0.3147
AERI3,Aeris,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,0.0,0.0,0.0,-0.04,0.82,0.0,0.0,0.66,0.0881,0.0,-0.13419999999999999,0.0,-0.13419999999999999,-0.13419999999999999
AESB3,AES Brasil,Utilidade Pública,Energia Elétrica,Energia Elétrica,0.0,-0.7610021241353556,0.0,-0.65,11.61,0.0,0.26,7.43,0.0881,0.0,0.0353,0.0,0.0353,0.0353
AFLT3,Afluente T,Utilidade Pública,Energia Elétrica,Energia Elétrica,4.373333333333333,-0.18270556298107854,3.752849198920883,-0.22,8.0,0.032799999999999996,0.49,4.15,0.0881,0.5355102040816326,0.11710000000000001,0.1961,0.05439175510204082,0.1252458775510204
AGRO3,Brasilagro,Consumo não Cíclico,Agropecuária,Agricultura,53.54946666666666,0.2742491123074663,1.4359929675218568,-0.23,25.18,0.1276,2.5,21.4,0.0881,1.2851871999999998,0.1168,0.1522,-0.03330986495999997,0.05944506752000002
AGXY3,Agrogalaxy,Consumo não Cíclico,Agropecuária,Agricultura,0.6588333333333334,0.0,-5.574626865671641,-0.01,2.95,0.0134,0.0,6.0,0.0881,inf,-0.24609999999999999,0.0,0.0,0.0
AHEB3,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,0.0,0.30663602810450763,0.0,0.0,15.5,0.0,11.39,1.95,0.0881,0.0,5.8252999999999995,0.0,5.8252999999999995,5.8252999999999995
AHEB5,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,0.0,0.25787688427443756,0.0,0.0,16.59,0.0,11.39,1.95,0.0881,0.0,5.8252999999999995,0.0,5.8252999999999995,5.8252999999999995
AHEB6,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,0.0,0.23864162569927228,0.0,0.0,17.02,0.0,11.39,1.95,0.0881,0.0,5.8252999999999995,0.0,5.8252999999999995,5.8252999999999995
ALLD3,Allied,Consumo Cíclico,Comércio,Eletrodomésticos,8.04235,0.5910375142387136,3.622479167203177,2.87,7.17,0.0673,0.82,16.66,0.0881,0.5884646341463415,0.049,0.32130000000000003,0.020165232926829264,0.17073261646341464
ALOS3,Allos,Financeiro,Exploração de Imóveis,Exploração de Imóveis,8.632,0.5561643284803617,21.048365425830067,0.0,24.9,0.0208,5.46,25.62,0.0881,0.09485714285714285,0.2132,0.8664000000000001,0.19297645714285713,0.5296882285714286
ALPA3,Alpargatas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,0.0,0.0,0.0,0.14,9.33,0.0,0.0,7.89,0.0881,0.0,-0.052199999999999996,0.0,-0.052199999999999996,-0.052199999999999996
ALPA4,Alpargatas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,0.0,0.0,0.0,0.13,8.54,0.0,0.0,7.89,0.0881,0.0,-0.052199999999999996,0.0,-0.052199999999999996,-0.052199999999999996
ALPK3,Estapar,Bens Industriais,Serviços,Serviços Diversos,0.0,0.0,0.0,0.27,4.6,0.0,0.0,1.75,0.0881,0.0,-0.2846,0.0,-0.2846,-0.2846
ALSC3,Alianse Shopping Centers,Financeiro,Exploração de Imóveis,Exploração de Imóveis,0.0,-0.9392417084151271,inf,0.58,27.75,0.0,0.72,12.64,0.0881,0.0,0.056900000000000006,0.1934,0.056900000000000006,0.12514999999999998
ALUP11,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica,29.998666666666672,0.19156987182657081,2.23880081828425,-0.57,29.8,0.0604,2.44,24.75,0.0881,0.737672131147541,0.0987,0.1761,0.025891760655737697,0.10099588032786885
ALUP3,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica,10.002666666666668,0.19099551481085206,2.2367532136259283,-0.57,9.92,0.0605,0.81,8.25,0.0881,0.7409382716049383,0.0987,0.1761,0.02556939259259259,0.1008346962962963
ALUP4,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica,9.996633333333335,0.18610234252140154,2.2449845162124573,-0.58,9.98,0.0601,0.81,8.25,0.0881,0.7404913580246913,0.0987,0.1761,0.025613502962962963,0.10085675148148149
AMAR3,Lojas Marisa,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,0.0,0.0,0.0,0.0,2.72,0.0,0.0,1.57,0.0881,0.0,-5.540900000000001,0.0,-5.540900000000001,-5.540900000000001
AMBP3,Ambipar,Utilidade Pública,Água e Saneamento,Água e Saneamento,2.2388333333333335,0.0,-8.273684210526316,0.08,14.14,0.0095,0.0,5.92,0.0881,inf,-0.1282,0.0,0.0,0.0
