Ticker,Nome,Setor,Subsetor,Segmento
AALR3,Alliar,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4,Abc Brasil,Financeiro,Intermediários Financeiros,Bancos
ABEV3,Ambev S/A,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes
ADHM3,Advanced Digital Health Medicina Preventiva,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
AERI3,Aeris,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
AESB3,AES Brasil,Utilidade Pública,Energia Elétrica,Energia Elétrica
AESO3,Aesoperacoes,Utilidade Pública,Energia Elétrica,Energia Elétrica
AFLT3,Afluente T,Utilidade Pública,Energia Elétrica,Energia Elétrica
AGRO3,Brasilagro,Consumo não Cíclico,Agropecuária,Agricultura
AGXY3,Agrogalaxy,Consumo não Cíclico,Agropecuária,Agricultura
AHEB3,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB5,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
AHEB6,SPturis,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows
ALLD3,Allied,Consumo Cíclico,Comércio,Eletrodomésticos
ALOS3,Allos,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALPA3,Alpargatas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
ALPA4,Alpargatas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
ALPK3,Estapar,Bens Industriais,Serviços,Serviços Diversos
ALSC3,Alianse Shopping Centers,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALSO3,Alianscsonae,Financeiro,Exploração de Imóveis,Exploração de Imóveis
ALUP11,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP3,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP4,Alupar,Utilidade Pública,Energia Elétrica,Energia Elétrica
AMAR3,Lojas Marisa,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
AMBP3,Ambipar,Utilidade Pública,Água e Saneamento,Água e Saneamento
AMER3,Americanas,Consumo Cíclico,Comércio,Produtos Diversos
ANIM3,Anima,Consumo Cíclico,Diversos,Serviços Educacionais
